"ENTREZID","ENSEMBL","SYMBOL"
"12370","ENSMUSG00000026029","Casp8"
"271697","ENSMUSG00000026023","Cdk15"
"14369","ENSMUSG00000041075","Fzd7"
"381260","ENSMUSG00000047361","Gm973"
"77951","ENSMUSG00000049439","Cyp20a1"
"12487","ENSMUSG00000026012","Cd28"
"12487","ENSMUSG00000102412","Cd28"
"54167","ENSMUSG00000026009","Icos"
"77341","ENSMUSG00000085447","9530026F06Rik"
"72823","ENSMUSG00000052062","Pard3b"
"105243940","ENSMUSG00000085019","Pard3bos2"
"55949","ENSMUSG00000025967","Eef1b2"
"23792","ENSMUSG00000025964","Adam23"
"105243944","ENSMUSG00000115378","Gm39653"
"241073","ENSMUSG00000069085","Dytn"
"74426","ENSMUSG00000025961","4933402D24Rik"
"433315","ENSMUSG00000044689","Gm13749"
"102466760","ENSMUSG00000098487","Mir6899"
"70861","ENSMUSG00000025955","Akr1cl"
"12967","ENSMUSG00000067299","Crygd"
"12964","ENSMUSG00000044429","Cryga"
"98303","ENSMUSG00000044816","D630023F18Rik"
"213527","ENSMUSG00000025946","Pth2r"
"12969","ENSMUSG00000025945","Crygf"
"329178","ENSMUSG00000055567","Unc80"
"17901","ENSMUSG00000061816","Myl1"
"227231","ENSMUSG00000025991","Cps1"
"13869","ENSMUSG00000062209","Erbb4"
"320460","ENSMUSG00000045648","Vwc2l"
"74591","ENSMUSG00000050296","Abca12"
"108147","ENSMUSG00000026192","Atic"
"100042814","ENSMUSG00000073652","Apol7d"
"71134","ENSMUSG00000101848","4933417E11Rik"
"381270","ENSMUSG00000039372","March4"
"16008","ENSMUSG00000039323","Igfbp2"
"16011","ENSMUSG00000026185","Igfbp5"
"69449","ENSMUSG00000101968","1700027A15Rik"
"78718","ENSMUSG00000101812","D530049I02Rik"
"109198","ENSMUSG00000100301","6030407O03Rik"
"21961","ENSMUSG00000055322","Tns1"
"435626","ENSMUSG00000061815","Rufy4"
"227288","ENSMUSG00000048480","Cxcr1"
"100316687","ENSMUSG00000087820","Mir1928"
"227289","ENSMUSG00000064272","Gpbar1"
"57751","ENSMUSG00000026171","Rnf25"
"104086","ENSMUSG00000026170","Cyp27a1"
"241113","ENSMUSG00000006542","Prkag3"
"260298","ENSMUSG00000055197","Fev"
"12958","ENSMUSG00000006546","Cryba2"
"16147","ENSMUSG00000006538","Ihh"
"19711","ENSMUSG00000033061","Resp18"
"241118","ENSMUSG00000033007","Asic4"
"20536","ENSMUSG00000006576","Slc4a3"
"620079","ENSMUSG00000100553","Gm17751"
"102465175","ENSMUSG00000098611","Mir6343"
"13838","ENSMUSG00000026235","Epha4"
"102465180","ENSMUSG00000099141","Mir6352"
"18505","ENSMUSG00000004872","Pax3"
"433323","ENSMUSG00000032908","Sgpp2"
"74205","ENSMUSG00000032883","Acsl3"
"57814","ENSMUSG00000047330","Kcne4"
"102636764","ENSMUSG00000099706","Gm29536"
"20254","ENSMUSG00000050711","Scg2"
"252903","ENSMUSG00000054702","Ap1s3"
"20720","ENSMUSG00000026249","Serpine2"
