"ENTREZID","ENSEMBL","SYMBOL"
"216157","ENSMUSG00000013858","Tmem259"
"66420","ENSMUSG00000004667","Polr2e"
"625249","ENSMUSG00000075706","Gpx4"
"20869","ENSMUSG00000003068","Stk11"
"66043","ENSMUSG00000003072","Atp5d"
"20054","ENSMUSG00000063457","Rps15"
"66374","ENSMUSG00000020133","2310011J03Rik"
"237400","ENSMUSG00000048696","Mex3d"
"17192","ENSMUSG00000035478","Mbd3"
"66932","ENSMUSG00000047417","Rexo1"
"56214","ENSMUSG00000113949","Scamp4"
"100113398","ENSMUSG00000113640","Adat3"
"103236","ENSMUSG00000003345","Csnk1g2"
"17347","ENSMUSG00000020190","Mknk2"
"71564","ENSMUSG00000055862","Izumo4"
"208266","ENSMUSG00000061589","Dot1l"
"78670","ENSMUSG00000035278","Plekhj1"
"11705","ENSMUSG00000035262","Amh"
"66094","ENSMUSG00000035215","Lsm7"
"17873","ENSMUSG00000015312","Gadd45b"
"52551","ENSMUSG00000004937","Sgta"
"50492","ENSMUSG00000004929","Thop1"
"57267","ENSMUSG00000004931","Apba3"
"73822","ENSMUSG00000034854","Mfsd12"
"102115","ENSMUSG00000078440","Dohh"
"102115","ENSMUSG00000113262","Dohh"
"72273","ENSMUSG00000078439","Smim24"
"103425","ENSMUSG00000020238","Ncln"
"14672","ENSMUSG00000034781","Gna11"
"50721","ENSMUSG00000034748","Sirt6"
"21665","ENSMUSG00000034674","Tdg"
"319277","ENSMUSG00000034560","Washc4"
"216197","ENSMUSG00000046841","Ckap4"
"28088","ENSMUSG00000001783","Rtcb"
"100316689","ENSMUSG00000089214","Mir1931"
"69878","ENSMUSG00000020018","Snrpf"
"14426","ENSMUSG00000090035","Galnt4"
"102640148","ENSMUSG00000112532","Gm36283"
"368203","ENSMUSG00000112039","Gm5136"
"67226","ENSMUSG00000069520","Tmem19"
"100504412","ENSMUSG00000085837","Kcnmb4os2"
"72286","ENSMUSG00000100198","1700030O20Rik"
"75321","ENSMUSG00000084764","Grip1os2"
"100504608","ENSMUSG00000080115","Eef1akmt3"
"17299","ENSMUSG00000006732","Mettl1"
"12567","ENSMUSG00000006728","Cdk4"
"14421","ENSMUSG00000006731","B4galnt1"
"80904","ENSMUSG00000040415","Dtx3"
"117150","ENSMUSG00000025417","Pip4k2c"
"110962","ENSMUSG00000025409","Mbd6"
"407790","ENSMUSG00000040280","Ndufa4l2"
"108037","ENSMUSG00000025403","Shmt2"
"20852","ENSMUSG00000002147","Stat6"
"72243","ENSMUSG00000040195","1700012D01Rik"
"210035","ENSMUSG00000040195","Nemp1"
"320080","ENSMUSG00000044617","Zbtb39"
"66701","ENSMUSG00000051346","Spryd4"
"103135","ENSMUSG00000005682","Pan2"
"210582","ENSMUSG00000039914","Coq10a"
"17904","ENSMUSG00000090841","Myl6"
"18813","ENSMUSG00000025364","Pa2g4"
"73827","ENSMUSG00000047090","Tmem198b"
"74522","ENSMUSG00000034543","Morc2a"
"56012","ENSMUSG00000020475","Pgam2"
"53604","ENSMUSG00000020193","Zpbp"
"60530","ENSMUSG00000035455","Fignl1"
"66249","ENSMUSG00000020116","Pno1"
"67939","ENSMUSG00000032673","Prorsd1"
"78294","ENSMUSG00000020460","Rps27a"
"20868","ENSMUSG00000020272","Stk10"
"76874","ENSMUSG00000085684","4930469K13Rik"
"72290","ENSMUSG00000044847","Lsm11"
"66628","ENSMUSG00000011254","Thg1l"
"15944","ENSMUSG00000046879","Irgm1"
"15944","ENSMUSG00000116471","Irgm1"
"15944","ENSMUSG00000116444","Irgm1"
"14257","ENSMUSG00000020357","Flt4"
"26420","ENSMUSG00000020366","Mapk9"
"103534","ENSMUSG00000036620","Mgat4b"
"214779","ENSMUSG00000044296","Zfp879"
"19127","ENSMUSG00000044542","Prop1"
"193286","ENSMUSG00000045942","BC049762"
"72947","ENSMUSG00000020359","Phykpl"
"15384","ENSMUSG00000020358","Hnrnpab"
"52530","ENSMUSG00000001056","Nhp2"
"66089","ENSMUSG00000001054","Rmnd5b"
"22333","ENSMUSG00000020402","Vdac1"
"22272","ENSMUSG00000044894","Uqcrq"
"14566","ENSMUSG00000018238","Gdf9"
"15254","ENSMUSG00000020267","Hint1"
"27041","ENSMUSG00000018583","G3bp1"
"69125","ENSMUSG00000020515","Cnot8"
"103836","ENSMUSG00000037243","Zfp692"
"403200","ENSMUSG00000052642","Lypd9"
"258530","ENSMUSG00000094805","Olfr311"
"94091","ENSMUSG00000020455","Trim11"
"14923","ENSMUSG00000020444","Guk1"
"67212","ENSMUSG00000036860","Mrpl55"
"216797","ENSMUSG00000049291","Prss38"
"26572","ENSMUSG00000019373","Cops3"
"20787","ENSMUSG00000020538","Srebf1"
"14248","ENSMUSG00000002812","Flii"
"20425","ENSMUSG00000020534","Shmt1"
"216820","ENSMUSG00000042569","Dhrs7b"
"216821","ENSMUSG00000043284","Tmem11"
"26397","ENSMUSG00000018932","Map2k3"
"23939","ENSMUSG00000001034","Mapk7"
"27078","ENSMUSG00000001039","B9d1"
"213980","ENSMUSG00000090173","Fbxw10"
"71062","ENSMUSG00000042189","Tekt3"
"216831","ENSMUSG00000033389","Arhgap44"
"52712","ENSMUSG00000018347","Zkscan6"
"71860","ENSMUSG00000020904","Cfap52"
"215723","ENSMUSG00000048329","Mfsd6l"
"320040","ENSMUSG00000046490","Rnf222"
"100034726","ENSMUSG00000062353","Gm15772"
"237823","ENSMUSG00000020899","Pfas"
"18626","ENSMUSG00000020893","Per1"
"216846","ENSMUSG00000032782","Cntrob"
"80515","ENSMUSG00000043419","Rnf227"
"327951","ENSMUSG00000044795","Cyb5d1"
"216850","ENSMUSG00000018476","Kdm6b"
"327954","ENSMUSG00000005237","Dnah2"
"22059","ENSMUSG00000059552","Trp53"
"23879","ENSMUSG00000018765","Fxr2"
"20020","ENSMUSG00000005198","Polr2a"
"70310","ENSMUSG00000019461","Plscr3"
"70419","ENSMUSG00000018570","2810408A11Rik"
"216860","ENSMUSG00000047284","Neurl4"
"56310","ENSMUSG00000023170","Gps2"
"53422","ENSMUSG00000018554","Ybx2"
"54351","ENSMUSG00000018565","Elp5"
"56486","ENSMUSG00000018567","Gabarap"
"11370","ENSMUSG00000018574","Acadvl"
"52898","ENSMUSG00000093989","Rnasek"
"50932","ENSMUSG00000020827","Mink1"
"11448","ENSMUSG00000014609","Chrne"
"67863","ENSMUSG00000014606","Slc25a11"
"16562","ENSMUSG00000020821","Kif1c"
"12261","ENSMUSG00000018446","C1qbp"
"116891","ENSMUSG00000018442","Derl2"
"67279","ENSMUSG00000020801","Med31"
"73366","ENSMUSG00000086951","1700051A21Rik"
"21689","ENSMUSG00000020799","Tekt1"
"18432","ENSMUSG00000040463","Mybbp1a"
"55984","ENSMUSG00000020785","Camkk1"
"76281","ENSMUSG00000040158","Tax1bp3"
"74637","ENSMUSG00000005951","Shpk"
"11484","ENSMUSG00000020774","Aspa"
"74148","ENSMUSG00000020741","Cluh"
"100042498","ENSMUSG00000085148","Mir22hg"
"280408","ENSMUSG00000038195","Rilp"
"74230","ENSMUSG00000053783","1700016K19Rik"
"116972","ENSMUSG00000069808","Fam57a"
"216963","ENSMUSG00000011877","Git1"
"14252","ENSMUSG00000061981","Flot2"
"57837","ENSMUSG00000020832","Eral1"
"216971","ENSMUSG00000037750","Fam222b"
