"ENTREZID","ENSEMBL","SYMBOL"
"329159","ENSMUSG00000099950","9130227L01Rik"
"69356","ENSMUSG00000100372","1700003I22Rik"
"329160","ENSMUSG00000087022","9130024F11Rik"
"407809","ENSMUSG00000101429","BC055402"
"75323","ENSMUSG00000097519","4930558J18Rik"
"68736","ENSMUSG00000048495","Tyw5"
"51960","ENSMUSG00000054770","Kctd18"
"11761","ENSMUSG00000063558","Aox1"
"71724","ENSMUSG00000064294","Aox3"
"71872","ENSMUSG00000038242","Aox4"
"213043","ENSMUSG00000079554","Aox2"
"100504501","ENSMUSG00000102059","Gm20257"
"108812","ENSMUSG00000047528","Flacc1"
"12370","ENSMUSG00000026029","Casp8"
"73463","ENSMUSG00000072295","C2cd6"
"381259","ENSMUSG00000038079","Tmem237"
"227157","ENSMUSG00000079550","Mpp4"
"74018","ENSMUSG00000026024","Als2"
"271697","ENSMUSG00000026023","Cdk15"
"12168","ENSMUSG00000067336","Bmpr2"
"72750","ENSMUSG00000041040","Fam117b"
"57750","ENSMUSG00000026019","Wdr12"
"329165","ENSMUSG00000026782","Abi2"
"77300","ENSMUSG00000026014","Raph1"
"12487","ENSMUSG00000026012","Cd28"
"12487","ENSMUSG00000102412","Cd28"
"12477","ENSMUSG00000026011","Ctla4"
"12477","ENSMUSG00000103326","Ctla4"
"54167","ENSMUSG00000026009","Icos"
"77341","ENSMUSG00000085447","9530026F06Rik"
"72823","ENSMUSG00000052062","Pard3b"
"105243940","ENSMUSG00000085019","Pard3bos2"
"227195","ENSMUSG00000040865","Ino80d"
"100217464","ENSMUSG00000064602","Snora41"
"241070","ENSMUSG00000046856","Gpr1"
"105243944","ENSMUSG00000115378","Gm39653"
"241073","ENSMUSG00000069085","Dytn"
"76668","ENSMUSG00000025963","Mdh1b"
"74426","ENSMUSG00000025961","4933402D24Rik"
"433315","ENSMUSG00000044689","Gm13749"
"102466760","ENSMUSG00000098487","Mir6899"
"93691","ENSMUSG00000025959","Klf7"
"12912","ENSMUSG00000025958","Creb1"
"67099","ENSMUSG00000025956","Mettl21a"
"227210","ENSMUSG00000070871","Ccnyl1"
"14367","ENSMUSG00000045005","Fzd5"
"241075","ENSMUSG00000051344","Plekhm3"
"12965","ENSMUSG00000073658","Crygb"
"15926","ENSMUSG00000025950","Idh1"
"18711","ENSMUSG00000025949","Pikfyve"
"12969","ENSMUSG00000025945","Crygf"
"17756","ENSMUSG00000015222","Map2"
"329178","ENSMUSG00000055567","Unc80"
"17901","ENSMUSG00000061816","Myl1"
"14768","ENSMUSG00000026000","Lancl1"
"227231","ENSMUSG00000025991","Cps1"
"13869","ENSMUSG00000062209","Erbb4"
"66722","ENSMUSG00000053153","Spag16"
"320460","ENSMUSG00000045648","Vwc2l"
"74591","ENSMUSG00000050296","Abca12"
"108147","ENSMUSG00000026192","Atic"
"14268","ENSMUSG00000026193","Fn1"
