"ENTREZID","ENSEMBL","SYMBOL"
"16006","ENSMUSG00000020429","Igfbp1"
"380686","ENSMUSG00000044629","Cnrip1"
"100316753","ENSMUSG00000089555","Mir1933"
"102465785","ENSMUSG00000106400","Mir216c"
"237716","ENSMUSG00000043999","Gpr75"
"15126","ENSMUSG00000055609","Hba-x"
"15122","ENSMUSG00000069919","Hba-a1"
"14233","ENSMUSG00000047861","Foxi1"
"237730","ENSMUSG00000051062","Fbll1"
"16428","ENSMUSG00000020395","Itk"
"347708","ENSMUSG00000064010","Dppa1"
"171283","ENSMUSG00000040405","Havcr1"
"620913","ENSMUSG00000048852","Gm12185"
"620913","ENSMUSG00000116523","Gm12185"
"620913","ENSMUSG00000116374","Gm12185"
"621823","ENSMUSG00000078153","Psme2b"
"404336","ENSMUSG00000107645","Olfr1380"
"723845","ENSMUSG00000065417","Mir340"
"258912","ENSMUSG00000050343","Olfr1378"
"18351","ENSMUSG00000060918","Olfr51"
"211472","ENSMUSG00000062204","Olfr1373"
"16189","ENSMUSG00000000869","Il4"
"16187","ENSMUSG00000018914","Il3"
"50724","ENSMUSG00000020519","Sap30l"
"624860","ENSMUSG00000058287","Gm12253"
"259148","ENSMUSG00000064252","Olfr329"
"404346","ENSMUSG00000063549","Olfr322"
"216783","ENSMUSG00000107711","Olfr320"
"258494","ENSMUSG00000108265","Olfr318"
"257931","ENSMUSG00000060030","Olfr317"
"102465555","ENSMUSG00000098547","Mir6921"
"100628625","ENSMUSG00000092734","Mir5100"
"24082","ENSMUSG00000042549","Map2k3os"
"109342","ENSMUSG00000042371","Slc5a10"
"69747","ENSMUSG00000014243","Zswim7"
"192976","ENSMUSG00000046417","Lrrc75a"
"94092","ENSMUSG00000047821","Trim16"
"52892","ENSMUSG00000069844","Sco1"
"17884","ENSMUSG00000057003","Myh4"
"17885","ENSMUSG00000055775","Myh8"
"108167906","ENSMUSG00000085937","Ccdc42os"
"57785","ENSMUSG00000032892","Rangrf"
"100216530","ENSMUSG00000064899","Snord118"
"216853","ENSMUSG00000041346","Wrap53"
"100316840","ENSMUSG00000088752","Mir1934"
"21944","ENSMUSG00000097328","Tnfsf12"
"100503361","ENSMUSG00000094845","Tmem95"
"104457","ENSMUSG00000020831","0610010K14Rik"
"668433","ENSMUSG00000087279","4930544D05Rik"
"103844","ENSMUSG00000057054","Inca1"
"102465557","ENSMUSG00000105932","Mir6925"
"327959","ENSMUSG00000040483","Xaf1"
"18436","ENSMUSG00000020787","P2rx1"
"258153","ENSMUSG00000058275","Olfr412"
"387150","ENSMUSG00000065537","Mir132"
"246257","ENSMUSG00000038268","Ovca2"
"18816","ENSMUSG00000038224","Serpinf2"
"280408","ENSMUSG00000038195","Rilp"
"380713","ENSMUSG00000038188","Scarf1"
"100628624","ENSMUSG00000093100","Mir3971"
"76566","ENSMUSG00000020846","Rflnb"
"13168","ENSMUSG00000038057","Dbil5"
"102465761","ENSMUSG00000099101","Mir7653"
"19376","ENSMUSG00000002059","Rab34"
"11676","ENSMUSG00000017390","Aldoc"
"22370","ENSMUSG00000017344","Vtn"
"103737","ENSMUSG00000018733","Pex12"
"103737","ENSMUSG00000116064","Pex12"
"103737","ENSMUSG00000116268","Pex12"
