Id,Label,Degree,Betweenness,Expression
16181,Il1rn,1,0,66.11154488
57814,Kcne4,1,0,89.80221579
71393,Kctd6,1,0,77.86745319
16598,Klf2,1,0,517.4789489
18826,Lcp1,1,0,111.5505924
83557,Lin28a,1,0,35.43519169
16897,Llgl1,1,0,137.2180388
233328,Lrrk1,1,0,56.82724239
17217,Mcm4,1,0,317.8629314
17685,Msh2,1,0,211.2255959
218203,Mylip,1,0,61.81800863
226101,Myof,1,0,63.56858705
234593,Ndrg4,1,0,284.5588586
225631,Onecut2,1,0,35.49778354
66425,Pcp4l1,1,0,151.0829169
228026,Pdk1,1,0,137.5310274
107272,Psat1,1,0,201.6573648
110095,Pygl,1,0,110.5047358
51801,Ramp1,1,0,94.3602119
229877,Rap1gds1,1,0,78.98608877
237422,Ric8b,1,0,102.0300911
70484,Slc35d2,1,0,58.67216543
20568,Slpi,1,0,126.3574082
24088,Tlr2,1,0,51.75374124
319939,Tns3,1,0,67.64145692
22670,Trim26,1,0,162.7097212
636931,Trim71,1,0,279.1128996
70747,Tspan2,1,0,35.07308984
22793,Zyx,1,0,99.15053826
